#NAME	CopdIAA.1	CopdIAA.2	CopdIAA.3	CopdIAA.4	CopdPBS.1	CopdPBS.2	CopdPBS.3	CopdPBS.4	CtrlIAA.1	CtrlIAA.2	CtrlIAA.3	CtrlIAA.4	CtrlPBS.1	CtrlPBS.2	CtrlPBS.3	CtrlPBS.4
#CLASS	COPDIAA	COPDIAA	COPDIAA	COPDIAA	COPDPBS	COPDPBS	COPDPBS	COPDPBS	ControlIAA	ControlIAA	ControlIAA	ControlIAA	ControlPBS	ControlPBS	ControlPBS	ControlPBS
Adgra2	780	453	966	1099	653	803	555	882	871	818	1388	1534	764	962	1148	1681
Adgra3	964	657	1160	1268	952	844	694	1252	1175	1287	1526	2249	1165	1151	1519	1923
Adgrb1	6	2	4	7	1	2	3	2	1	2	6	3	2	3	6	5
Adgrb2	31	35	24	33	25	21	75	16	26	28	60	46	24	33	27	294
Adgrb3	1	0	1	0	1	1	2	1	1	4	1	1	0	0	1	0
Adgrd1	620	683	660	697	515	476	812	424	437	421	627	579	379	553	569	3217
Adgre1	949	904	822	2056	1315	936	860	847	399	302	604	693	599	675	497	1161
Adgre4	65	51	106	82	59	54	91	59	32	20	98	72	44	164	53	191
Adgre5	6776	3720	8223	7447	5704	6051	4845	7843	5488	6614	9849	10255	5326	8994	8505	9397
Adgrf1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Adgrf2	2	1	2	2	1	2	0	0	0	2	3	1	2	0	3	2
Adgrf3	4	8	6	3	9	3	1	2	0	3	1	5	1	2	2	16
Adgrf4	5	6	2	0	2	1	2	5	0	2	10	1	3	3	1	24
Adgrf5	14577	11402	19912	19635	14949	13894	9353	19015	16990	18183	27885	33811	15508	17929	28294	33332
Adgrg1	2836	3653	3611	4339	4011	3971	3103	3364	2212	2707	2880	4580	2338	3073	3506	4309
Adgrg2	17	24	34	28	40	14	28	26	27	41	56	39	31	33	34	141
Adgrg3	83	60	107	108	73	84	48	141	99	85	143	165	96	138	120	88
Adgrg5	115	142	138	170	333	110	55	214	22	40	37	36	43	66	41	56
Adgrg6	555	483	941	944	667	512	398	782	884	931	1481	1297	859	848	1214	1360
Adgrg7	1	0	0	1	0	1	0	1	0	0	2	0	0	0	1	1
Adgrl1	630	528	1014	1069	712	772	662	920	821	941	1299	1535	674	937	1051	1573
Adgrl2	790	620	1372	1474	877	830	532	1202	957	913	1299	1812	811	1008	1556	2046
Adgrl3	414	270	566	505	309	323	257	425	475	475	869	949	459	497	786	1149
Adgrl4	2449	1827	3369	3151	2502	1929	1340	3241	2320	3376	4701	4678	2674	3071	4127	4551
Adgrv1	17	6	18	16	24	16	8	16	35	60	57	60	38	32	31	43
Adh1	2745	1537	1753	1880	1788	2205	1386	1741	1741	2099	2409	2749	1884	1411	2145	2140
Adh4	4	2	2	3	3	5	0	3	4	3	6	6	2	0	7	4
Adh5	1166	1181	1092	1543	1606	1235	1111	1342	1051	1365	1678	1792	1211	1514	1652	1921
Adh6-ps1	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	2
Adh6b	2	0	1	0	3	1	0	4	3	3	0	3	0	3	5	3
Adh7	258	350	253	363	536	163	161	327	219	328	302	333	320	207	359	659
Adhfe1	55	66	69	100	75	67	78	80	37	118	92	130	94	68	105	322
Adi1	796	741	596	863	892	795	695	725	655	735	900	1147	772	848	909	860
Adig	10	5	13	14	44	17	71	36	4	6	12	21	14	12	19	452
Adipoq	6	3	2	10	29	1	405	41	2	11	15	60	16	9	56	3288
Adipor1	5804	4862	5342	6558	5982	5422	3914	6032	4612	4824	6024	7060	5082	6350	6611	7157
Adipor2	3569	3938	3949	5962	5429	4401	3380	4667	3785	3990	5356	7013	3959	5147	5482	7136
Adk	1296	1572	1356	1885	1552	1349	1193	1467	1386	1445	1940	2186	1279	1362	2174	2253
Adm	136	47	92	144	129	77	64	135	145	119	151	166	115	154	182	299
Adm2	1	0	0	5	1	2	6	3	1	0	0	3	1	5	3	12
Adnp	571	612	729	1078	568	582	524	690	575	605	862	1091	768	480	1126	946
Adnp2	446	428	432	597	517	441	339	498	335	436	596	635	399	498	591	742
Ado	535	536	612	772	755	608	502	762	511	615	848	845	585	811	714	871
Adora1	178	296	227	417	293	292	215	221	73	90	110	198	102	116	113	390
Adora2a	190	78	145	151	125	146	137	176	70	91	108	126	99	211	110	223
Adora2b	408	543	316	529	703	508	425	570	265	282	268	535	248	343	422	421
Adora3	50	108	58	191	136	117	64	101	17	11	24	25	19	39	13	17
Adpgk	273	289	363	390	330	322	325	360	280	310	415	493	274	408	348	448
Adprh	1057	758	861	1162	1066	1031	734	1094	705	745	1163	1232	858	1400	1069	1336
Adprhl1	1	4	4	4	4	1	1	11	6	7	5	15	8	13	12	32
Adprhl2	902	763	698	920	907	986	727	873	608	653	838	933	643	968	894	897
Adprm	246	316	294	329	387	292	232	348	239	326	392	398	294	327	399	352
Adra1a	114	83	182	150	99	103	75	105	127	187	274	281	148	110	194	184
Adra1b	68	9	34	49	46	30	23	40	38	70	67	70	65	35	54	68
Adra1d	4	5	12	9	9	10	12	14	38	17	63	22	31	38	20	36
Adra2a	11	16	9	26	55	17	12	50	26	58	29	30	53	35	47	66
Adra2b	2	0	2	2	1	3	1	3	4	0	2	1	2	3	2	1
Adra2c	4	2	0	6	1	1	2	5	2	3	11	13	8	2	10	6
Adrb1	795	484	784	896	694	729	528	1146	551	880	1059	1328	617	954	1092	715
Adrb2	771	770	1336	1091	651	744	518	845	1349	1742	1911	1862	1407	1973	1790	1843
Adrb3	104	67	99	59	45	91	74	79	68	104	90	114	59	52	76	322
Adrm1	2184	1675	1854	2434	2345	2300	2203	2140	1799	1847	2641	3087	1933	2975	2550	2896
Adsl	523	376	439	581	614	579	476	575	457	509	738	836	469	729	668	684
Adss	993	1003	1111	1637	1482	991	664	1383	853	1372	1155	1469	1296	1224	1302	1451
Adssl1	676	593	580	616	562	738	686	509	515	573	790	951	526	1098	899	991
Adtrp	13	5	11	17	11	9	18	8	11	5	10	18	13	10	16	59
Aebp1	3622	3735	4390	4431	3332	3146	4179	3081	3744	3952	5757	6244	3465	3111	4369	13693
Aebp2	1175	1156	1308	1938	2013	1026	905	1823	1309	1498	1751	1949	1438	1670	1774	1977
Aen	569	508	497	664	684	556	657	646	546	581	753	817	493	971	603	612
Aes	14176	10418	10730	14117	12717	14320	12515	11826	12215	10989	14311	17390	11332	14307	15318	14558
Afap1	480	508	661	673	531	401	463	470	433	479	735	733	399	380	563	907
Afap1l1	4223	2951	5110	4551	3510	4062	2910	4949	4277	4480	6348	8419	3882	5349	6418	6232
Afap1l2	262	217	322	329	234	224	234	251	218	223	350	363	191	239	265	414
Afdn	2901	2333	3164	3953	3341	2650	1975	3487	3220	3867	5016	6026	3584	3451	5510	5524
Aff1	2067	1882	2788	3285	2710	2177	1732	2473	2475	2642	4451	4559	2964	2775	4419	4650
Aff2	8	15	19	31	12	3	1	10	35	17	39	36	18	19	34	73
Aff3	556	446	957	709	562	543	259	713	459	775	1234	1044	590	667	1035	1872
Aff4	1369	1624	2238	2851	2202	1431	1260	2148	1984	2368	3314	3236	2245	2129	3135	4037
Afg1l	229	251	292	304	326	280	248	336	305	403	442	544	303	361	405	357
Afg3l1	942	736	838	1215	1061	1060	856	1008	744	789	1084	1323	808	1100	1086	1119
Afg3l2	584	505	678	841	755	608	541	722	542	624	902	1010	612	869	878	1015
Afm	30	24	24	30	33	17	24	26	24	17	22	22	19	24	30	30
Afmid	99	80	64	174	141	85	87	114	48	69	80	99	69	83	67	165
Afp	10	8	14	18	10	11	20	13	4	6	16	25	7	32	20	11
Aftph	974	1026	1053	1602	1627	917	805	1387	1089	1416	1553	1676	1341	1334	1588	1587
Aga	269	256	261	400	349	315	219	291	253	302	439	393	274	278	390	480
Agap1	1775	1652	2297	2797	1639	1750	1404	1967	1942	1951	3027	3044	1717	1743	2362	4320
Agap2	258	199	227	417	460	270	190	350	77	110	188	147	111	299	141	215
Agap3	3166	2694	2974	3579	3477	3453	2704	3284	2590	2767	3529	4255	2944	3098	4016	3855
Agbl1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Agbl2	52	77	55	118	135	82	35	168	94	216	164	176	165	156	130	169
Agbl3	58	60	69	93	82	56	39	99	57	96	114	116	77	70	103	132
Agbl4	5	2	3	10	7	7	4	12	5	6	8	10	12	11	10	16
Agbl5	288	255	246	328	341	288	208	331	174	286	380	428	268	332	327	365
Ager	86219	50852	62477	75947	77134	85735	77990	67824	76026	78039	100826	101636	91084	73990	114680	76382
Agfg1	1304	1066	1566	1817	1612	1244	1043	1684	1411	1784	2278	2376	1661	2101	2177	1910
Agfg2	544	487	501	670	696	559	415	600	432	472	700	793	522	584	690	818
Aggf1	996	934	1034	1365	1309	919	804	1416	1020	1235	1691	1773	1210	1489	1560	1535
Agk	260	229	244	284	317	254	190	343	235	329	379	461	252	333	339	346
Agl	283	268	334	416	338	261	173	341	241	286	426	471	272	358	369	504
Agmat	11	2	4	8	7	9	4	7	6	7	13	5	9	9	5	8
Agmo	163	172	172	310	258	169	123	196	204	325	348	366	274	221	285	329
Ago1	2095	1633	2053	2472	2090	1960	1493	2102	1875	2056	2607	3150	1879	1764	2527	2402
Ago2	982	851	1352	1523	1366	973	860	1315	1253	1250	1758	1960	1226	1546	1676	1904
Ago3	205	166	293	315	219	171	145	242	273	363	397	332	258	273	290	325
Ago4	313	297	388	477	506	342	301	444	466	495	523	555	519	378	635	385
Agpat1	1655	1413	1355	2044	1926	1917	1563	1713	1347	1397	1854	2348	1374	2039	1819	1888
Agpat2	1119	952	892	1198	1180	1277	1075	1010	840	798	1214	1581	964	1293	1319	2402
Agpat3	3156	2429	2913	3618	3500	3368	2878	3238	2898	3247	4145	4870	3110	3673	4342	4540
Agpat4	1132	700	972	1174	1025	926	683	1044	1042	1132	1479	1453	1104	1307	1434	1239
Agpat5	480	351	442	544	535	388	351	520	465	465	609	653	408	595	526	542
Agps	817	898	891	1505	1429	773	800	1253	1049	1315	1519	1710	1190	1458	1671	1462
Agr2	7	5	2	10	200	2	5	53	13	24	13	25	19	8	30	79
Agr3	33	35	18	66	104	43	26	79	45	112	108	95	113	96	89	88
Agrn	5765	5196	6615	9518	7552	7255	5797	6226	4757	5726	7490	8851	5671	4464	8450	7199
Agrp	25	27	23	16	12	29	11	23	19	31	24	41	21	22	26	22
Agt	87	96	101	122	93	115	139	108	131	113	137	167	120	132	122	374
Agtpbp1	400	423	525	646	570	377	369	615	571	655	809	994	632	620	745	728
Agtr1a	89	80	142	117	83	93	31	108	122	133	263	212	146	145	231	269
Agtr1b	1	0	1	2	2	2	3	1	5	5	3	10	3	3	4	0
Agtr2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Agtrap	1576	1394	1603	2119	1730	1582	1329	1641	1005	1285	1651	2222	1090	1471	1516	1989
Agxt	10	6	18	15	18	14	9	10	10	7	14	13	6	11	13	15
Agxt2	6	6	5	3	7	10	3	5	3	7	7	8	4	7	5	10
Ahctf1	606	680	823	1121	1033	635	567	933	844	969	1351	1463	958	1038	1310	1289
Ahcy	1225	1124	1128	1379	1096	1051	1137	979	1133	1144	1701	1653	1248	1408	1475	2092
Ahcyl1	1778	1975	2050	2525	2316	1781	1498	2118	1586	2038	2612	2767	1832	2103	2485	2840
Ahcyl2	1712	2132	2336	3764	3768	2043	1959	2888	2522	2609	3555	5094	2674	2943	5365	4488
Ahdc1	526	420	649	691	624	490	543	531	537	583	983	951	614	739	845	887
Ahi1	135	140	163	194	191	149	117	194	162	235	260	341	215	268	274	239
Ahnak	45921	26049	41603	49488	43389	34966	28182	43423	57593	52414	80533	67212	64255	47703	84795	71419
Ahnak2	1623	1885	2198	2101	1439	1726	1727	1267	1007	1505	2398	2207	1209	988	1830	2555
Ahr	789	687	1195	1339	1128	824	505	1293	559	941	1055	1195	671	855	1074	815
Ahrr	2	4	3	13	7	12	5	9	3	3	8	4	5	6	0	8
Ahsa1	1844	1569	1428	2350	2479	2065	2078	2310	2653	2215	2158	3443	2169	2956	2151	2469
Ahsa2	442	510	481	640	791	457	462	607	941	851	659	897	738	939	644	513
Ahsg	608	586	600	730	659	542	539	659	611	634	765	831	619	642	762	820
Aicda	0	1	6	2	4	5	3	1	0	2	1	1	0	3	2	19
Aida	1054	934	922	1378	1211	844	838	1059	919	1077	1252	1467	883	1207	1237	1430
Aif1	299	295	148	464	342	284	241	202	56	77	120	80	102	166	84	179
Aif1l	91	50	59	73	52	57	66	71	78	94	105	163	65	112	116	161
Aifm1	436	430	422	522	562	473	385	488	405	461	638	695	495	603	618	701
Aifm2	511	488	543	643	554	515	511	466	367	347	505	637	388	440	514	1096
Aifm3	69	91	116	122	59	88	80	78	44	56	69	89	47	60	79	75
Aig1	723	683	594	897	921	719	543	855	692	928	940	1127	781	839	1069	1019
Aim2	89	114	96	133	155	63	76	106	27	56	57	59	56	82	52	112
Aimp1	856	789	740	1011	1022	770	602	941	760	904	1021	989	917	933	1052	1246
Aimp2	344	212	203	337	341	305	315	276	286	232	368	377	254	433	314	303
Aip	2283	1777	1748	2311	2100	2312	2048	2096	1932	1781	2495	2795	1735	2503	2346	2688
Aipl1	2	2	1	5	6	2	0	3	0	0	2	1	3	4	1	5
Aire	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Airn	34	43	51	53	30	28	21	26	24	58	44	31	33	42	39	63
Ajap1	4	4	10	17	9	3	2	10	10	15	18	22	22	19	14	26
Ajm1	0	0	0	1	0	0	0	0	0	3	2	6	2	2	8	0
Ajuba	975	680	975	1063	1049	1020	971	1026	590	809	1317	1321	801	895	1112	652
Ak1	578	601	482	733	615	749	463	660	404	599	608	826	543	504	629	679
Ak2	905	785	726	1138	1079	996	813	949	653	762	810	974	698	1130	901	1335
Ak3	2717	2234	2566	2937	2704	2485	2159	2691	2373	2932	3504	3915	2661	2699	3054	3642
Ak4	52	54	51	56	47	28	39	47	50	53	51	64	47	64	52	75
Ak5	25	47	28	38	21	27	57	25	16	15	33	31	17	18	23	62
Ak6	487	496	503	732	708	476	430	577	459	579	722	726	554	825	642	800
Ak7	307	247	179	451	562	319	155	619	399	891	747	782	807	787	508	714
Ak8	113	93	72	156	190	130	67	141	115	174	199	173	189	162	165	168
Ak9	48	36	29	67	83	40	24	83	44	137	114	113	103	110	74	75
Akap1	433	367	493	577	472	428	402	493	435	466	593	730	433	547	669	720
Akap10	276	235	299	418	388	278	215	358	269	332	429	471	296	357	414	413
Akap11	823	861	1033	1459	1350	664	670	1179	1013	1298	1568	1645	1173	1137	1607	1537
Akap12	1666	937	1957	1775	1133	1289	783	1748	2294	1788	2869	3188	1705	1897	2556	4196
Akap13	4372	3381	4595	5925	5107	3896	3184	4694	4220	4351	7606	7254	5393	5487	7281	7888
Akap14	50	43	48	51	95	69	23	96	72	143	145	142	141	102	110	118
Akap17b	46	64	65	86	89	48	46	89	85	110	112	129	93	87	81	92
Akap2	12698	6743	11573	15153	13575	9412	8146	13410	13412	14944	18981	20566	16811	13301	24535	19802
Akap3	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
Akap4	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	0
Akap5	7016	3602	6513	7964	7348	5387	5930	7067	7876	9364	11274	10703	9891	6904	14325	7999
Akap6	8	13	9	15	45	8	6	24	21	33	29	58	39	27	42	51
Akap7	518	646	573	755	786	507	350	642	323	446	535	599	418	383	560	508
Akap8	826	757	1037	1159	1129	735	620	1041	785	1166	1400	1264	1006	1181	1254	1406
Akap8l	683	647	1044	1058	791	774	702	794	633	855	947	1031	737	877	944	1100
Akap9	707	699	874	1406	1208	683	615	1068	955	1423	1501	1510	1254	1076	1349	1301
Akip1	466	369	382	469	498	456	324	470	375	517	577	625	489	476	551	613
Akirin1	1064	976	1113	1604	1595	1024	889	1330	1032	1058	1400	1508	1033	1454	1335	1502
Akirin1-ps	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Akirin2	682	737	664	868	989	690	500	819	594	819	853	830	721	927	867	756
Akna	984	783	966	1425	1453	924	684	1302	522	697	1157	1023	745	1493	885	1340
Aknad1	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	2
Aknaos	0	2	1	0	0	0	1	0	0	0	0	0	0	0	1	0
Akp-ps1	1	0	2	0	0	0	1	0	0	1	2	1	1	1	0	0
Akp3	0	0	0	4	0	0	0	3	0	0	0	0	1	0	1	0
Akr1a1	14555	12519	10754	14838	14802	14777	10923	13496	10506	10587	12013	15026	10138	12459	13161	13956
Akr1b10	301	267	285	368	347	256	339	295	202	293	373	380	245	295	323	366
Akr1b3	2702	2432	2169	3062	2786	2922	2672	2519	1842	1908	2612	3139	1727	2484	2565	3025
Akr1b7	12	13	20	12	20	12	8	18	16	24	36	20	26	20	34	16
Akr1b8	443	395	416	519	515	518	477	466	262	373	391	484	329	411	438	694
Akr1c12	13	20	18	14	31	10	12	30	10	11	7	12	7	10	23	24
Akr1c13	136	143	132	185	219	155	100	175	79	118	130	183	122	118	149	168
Akr1c14	872	702	898	1233	1528	715	688	1017	1604	2374	2655	1848	3160	1822	2527	1972
Akr1c18	0	2	0	0	13	0	0	6	2	1	0	2	0	0	6	9
Akr1c19	65	98	70	84	79	96	45	60	22	59	60	74	51	31	90	82
Akr1c20	5	3	5	6	9	9	3	2	9	9	10	5	9	3	10	2
Akr1c21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Akr1c6	30	25	32	29	25	23	16	30	16	33	44	43	30	38	26	31
Akr1cl	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0
Akr1d1	14	11	8	12	6	8	12	15	10	10	21	13	15	7	16	9
Akr1e1	220	263	228	321	369	225	247	282	225	349	411	375	304	304	303	451
Akr7a5	1078	904	723	1101	1031	1146	925	949	759	824	886	1197	733	903	1016	1040
Akt1	6118	4715	5197	7127	6219	6399	5205	6032	5216	4999	6735	7919	5239	7311	7038	7159
Akt1s1	1781	1355	1372	1838	1585	1796	1653	1587	1312	1422	1787	2144	1370	1660	1744	2104
Akt2	5067	4784	4629	5647	5187	5340	5107	4958	4037	4145	5466	6586	4197	5944	5405	6883
Akt2-ps	0	1	1	1	1	1	0	2	0	0	1	3	0	0	0	0
Akt3	1528	937	1625	1755	1593	1156	1138	1557	2078	1810	2727	2694	1839	1930	2794	2512
Aktip	1270	896	1195	1273	1303	975	967	1341	1811	1832	2240	2177	1824	1841	2286	1637
Alad	1548	1488	1155	1520	1348	1602	1455	1284	861	1130	1302	1649	942	1186	1408	1397
Alas1	4304	3715	3592	5193	5334	4917	3154	5539	4248	5625	6074	6909	5724	6601	5720	7706
Alas2	6993	3917	8753	5642	4575	2330	3517	6598	5114	3525	6058	6044	4459	9210	4127	12579
Alb	8554	7830	8505	9829	9077	8144	7276	9126	7625	8766	10169	11229	7981	9188	10039	10644
Alcam	4076	5203	5338	8658	8231	4188	4850	6343	4752	6945	7265	8753	6783	5692	9300	7397
Aldh16a1	870	748	657	931	876	945	653	795	512	631	814	929	627	761	766	910
Aldh18a1	312	290	301	494	443	427	384	415	284	236	280	549	238	461	315	445
Aldh1a1	14941	13500	13063	16284	21827	14559	13114	19928	22561	30929	35674	38272	28331	36647	27244	33920
Aldh1a2	2433	2950	2639	3517	2027	1924	2825	1802	2054	2111	2777	3125	1507	1469	1944	4156
Aldh1a3	15	7	10	3	20	6	8	14	18	21	17	32	16	26	24	91
Aldh1a7	1553	1749	1479	1901	2045	1898	1685	2027	2440	3208	3517	4037	2919	4296	3019	3191
Aldh1b1	76	105	57	118	135	81	57	93	40	30	58	63	39	128	36	119
Aldh1l1	842	888	694	810	781	945	517	883	611	658	886	1052	632	720	942	1301
Aldh1l2	5	9	6	18	29	7	23	12	12	10	16	32	9	21	14	21
Aldh2	20764	15780	17806	18850	17659	20733	16352	19411	22063	23448	32597	35372	24191	28137	28213	34359
Aldh3a1	542	451	182	601	1301	421	512	989	832	997	1019	1572	1125	1529	1284	1424
Aldh3a2	1906	1757	1984	2500	2499	2025	1606	2368	1888	2233	2860	3343	2249	2301	3318	2910
Aldh3b1	2619	2415	1846	3156	3198	3074	2018	3325	2087	3582	3573	4132	3372	3320	3222	3343
Aldh3b2	3	3	1	5	8	4	9	7	10	4	5	10	9	9	7	160
Aldh3b3	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	4
Aldh4a1	1072	1073	992	1260	1055	1217	933	1093	758	997	1207	1505	943	989	1181	1543
Aldh5a1	184	170	151	186	173	152	124	186	154	239	326	292	221	242	221	370
Aldh6a1	1037	991	1077	1285	1246	929	756	1147	1062	1577	1862	1790	1351	1317	1848	2770
Aldh7a1	1311	1048	1150	1408	1251	1391	1266	1183	1354	1375	1838	2048	1469	1561	1760	1946
Aldh8a1	17	11	18	23	16	22	20	20	12	15	24	22	20	21	21	26
Aldh9a1	1065	989	904	1238	1233	1140	948	1070	842	972	1397	1425	838	1262	1411	1682
Aldoa	13990	12265	11000	15371	14479	15446	13580	13035	10458	10807	14165	16962	10515	17006	13222	18846
Aldoart1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Aldoart2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Aldob	393	382	417	504	409	375	350	401	351	388	463	527	374	407	488	548
Aldoc	328	401	253	446	484	461	176	365	134	162	210	244	188	166	241	248
Alg1	859	763	821	1102	973	900	760	884	664	860	920	1279	762	906	1028	1082
Alg10b	568	582	787	1035	999	513	426	891	672	960	1060	1147	818	853	1120	1227
Alg11	184	196	225	296	334	205	159	253	202	285	402	357	237	314	314	365
Alg12	208	165	205	298	228	230	159	235	211	209	288	382	212	273	248	316
Alg13	45	48	45	75	52	27	29	30	49	58	42	59	44	63	53	56
Alg14	252	308	296	380	367	277	269	320	299	386	409	493	306	446	411	391
Alg2	395	361	409	481	491	438	367	529	375	408	552	676	369	513	534	553
Alg3	221	249	238	296	287	278	275	257	213	204	281	371	228	284	253	289
Alg5	562	551	493	700	710	542	523	569	433	506	668	704	514	661	683	855
Alg6	51	78	87	97	72	50	41	52	43	84	95	81	61	59	79	84
Alg8	102	88	115	154	151	98	104	110	81	117	131	177	113	173	157	128
Alg9	419	382	428	612	554	437	387	524	350	428	537	663	419	493	542	586
Alk	0	0	1	1	0	1	2	0	1	0	0	1	0	0	1	0
Alkal1	10	22	14	22	14	16	10	21	18	10	17	17	12	11	22	14
Alkal2	0	0	1	1	3	0	4	0	1	0	2	1	2	0	1	22
Alkbh1	138	143	156	201	214	174	169	159	137	170	161	178	142	213	178	202
Alkbh2	74	105	92	116	126	123	82	116	63	99	103	117	83	124	83	117
Alkbh3	257	232	273	328	254	285	200	258	211	243	308	322	197	328	288	361
Alkbh3os1	3	0	2	1	0	2	0	0	0	4	3	0	0	2	2	2
Alkbh4	229	166	165	201	251	183	163	250	133	198	222	189	143	264	197	235
Alkbh5	2366	2303	2778	3468	3220	2466	2066	3078	2358	2669	3666	4080	2633	2983	3645	4224
Alkbh6	623	484	418	523	539	616	437	504	399	432	571	576	416	524	531	583
Alkbh7	428	328	309	411	480	418	439	395	260	307	396	495	347	385	412	315
Alkbh8	129	149	182	170	191	94	105	183	158	253	287	224	223	237	238	255
Alms1	78	86	121	172	130	109	87	104	87	143	196	204	178	178	174	191
Alms1-ps1	3	2	15	14	5	2	9	9	12	26	19	17	10	4	8	9
Alms1-ps2	4	9	3	3	6	4	1	4	12	10	8	2	8	13	0	0
Alox12	335	172	552	329	306	270	218	303	216	288	453	585	273	498	420	849
Alox12b	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0
Alox12e	4	0	1	7	28	2	12	5	4	5	1	2	3	6	5	42
Alox15	271	356	378	252	294	117	437	147	126	64	446	174	236	333	218	1087
Alox5	376	401	445	772	430	446	418	419	241	167	234	543	218	366	373	615
Alox5ap	2120	2722	2032	3714	3272	2568	1718	2546	1246	935	1965	1762	1498	4568	1744	1967
Alox8	2	2	2	1	2	2	1	1	2	0	1	1	0	5	2	1
Aloxe3	15	21	11	34	17	31	15	17	7	16	21	31	9	14	26	27
Alpk1	48	70	69	91	86	67	56	71	38	61	89	65	44	131	62	76
Alpk2	6	9	3	15	12	7	5	8	1	1	2	8	3	6	9	11
Alpk3	45	23	24	38	34	32	39	30	61	49	97	87	61	48	87	59
Alpl	127	216	202	302	246	244	156	222	97	113	105	163	69	167	105	96
Alppl2	2	0	1	4	2	5	6	0	4	1	5	9	1	2	2	5
Als2	348	242	335	468	416	316	268	347	302	326	463	542	306	395	494	428
Als2cl	1069	798	1191	1204	1037	1084	738	1240	850	1405	1741	1847	1046	1492	1606	1511
Als2cr12	2	2	2	0	3	1	2	3	6	3	2	3	4	2	5	23
Alx1	0	0	0	0	1	1	0	1	1	1	0	1	0	2	0	1
Alx3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Alx4	1	2	2	5	3	4	2	1	2	2	0	7	1	2	2	3
Alyref	1133	854	884	1190	1134	1082	940	1028	859	993	1201	1268	939	1419	1097	1257
Alyref2	100	76	82	115	114	102	102	91	59	91	118	108	71	147	108	129
Amacr	155	136	147	196	198	174	155	183	153	170	239	264	174	196	229	279
Ambn	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
Ambp	175	183	187	242	190	204	182	246	185	216	252	228	187	231	225	247
Ambra1	781	641	817	961	860	772	704	835	609	810	1118	1086	664	982	897	1315
Amd-ps3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amd-ps4	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Amd-ps6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Amd1	1264	1177	1130	1214	1720	1208	1040	1650	1153	1305	1690	1750	1290	1821	1449	1497
Amd2	10	0	16	8	10	77	13	7	7	12	13	16	6	15	23	17
Amdhd1	17	18	11	14	12	16	11	16	14	14	21	17	15	17	11	22
Amdhd2	829	870	688	1005	881	1039	646	812	342	518	578	720	442	659	603	643
Amer1	365	316	363	428	434	379	345	409	378	513	673	677	494	600	534	469
Amer2	7	23	9	18	9	4	9	11	7	8	14	10	19	22	18	10
Amer3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Amfr	4305	3552	4237	5850	5209	4523	3637	4852	4212	4466	6029	7257	4471	5365	6219	6701
Amh	2	4	3	3	10	10	7	4	5	3	11	7	14	6	4	4
Amhr2	210	131	134	165	134	149	132	125	142	149	165	165	143	121	175	167
Amigo1	406	355	467	489	456	440	427	457	486	567	731	773	485	611	661	695
Amigo2	728	668	719	791	583	597	656	642	532	768	963	965	698	837	775	853
Amigo3	46	45	43	65	47	56	61	52	37	35	57	55	40	52	53	72
Ammecr1	74	85	69	142	115	66	57	95	67	107	115	121	69	119	84	145
Ammecr1l	342	315	411	510	495	361	309	469	391	434	664	691	395	451	526	613
Amn	2	4	4	1	6	3	6	2	4	0	3	5	1	5	7	4
Amn1	132	118	161	157	171	136	112	177	167	239	267	258	218	218	230	224
Amot	148	107	163	208	154	127	111	163	163	173	231	258	146	144	211	232
Amotl1	2403	1661	2496	2692	2158	2071	1746	2872	3231	3024	4161	5013	2498	2902	4165	4959
Amotl2	4620	2666	3309	4022	4601	4126	3732	4562	2388	4127	6995	5573	4161	4471	5035	4073
Ampd1	12	14	5	5	11	8	5	16	10	16	13	28	13	19	8	11
Ampd2	376	298	424	591	441	415	434	431	289	303	374	469	294	514	325	528
Ampd3	432	421	571	618	535	440	384	529	677	517	1185	1088	610	1010	807	926
Amph	217	174	221	199	155	196	134	219	389	355	523	451	340	255	436	320
Amt	66	106	109	148	110	93	107	101	92	134	134	186	95	123	112	123
Amtn	3	3	9	4	1	2	0	1	1	0	5	3	2	1	2	0
Amy1	28	38	24	33	47	21	30	35	37	63	91	49	63	54	53	240
